,Age,MP,Starts,Min,90s,Player,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasProg,PasAtt,PasCmp,Assists,PasAss,PPA,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,Fls,Fld,Off,AerWon,AerLost,AerWon%
2073,23,8,4,454,5.0,Alexsandro Ribeiro,1,0.4,0.2,50.0,0.5,1.0,5.8,0.0,0.0,0.0,58.8,65.0,90.5,2.6,65.0,58.8,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,1.0,1.4,71.4,0.4,0.4,0.0,0.4,1.2,3.2,3.8,0.0,73.6,56.6,279.2,104.0,0.6,0.4,0.0,0.4,0.8,50.8,0.0,0.2,0.0,0.4,0.8,0.0,0.8,1.6,33.3
2074,39,1,0,37,0.4,Franck Ribéry,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,55.0,86.4,2.5,55.0,47.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,70.0,37.5,302.5,167.5,2.5,2.5,0.0,0.0,2.5,60.0,10.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
2075,21,15,13,1197,13.3,Samuele Ricci,1,0.83,0.3,36.4,0.09,0.25,22.2,0.0,0.0,0.0,46.7,52.6,88.8,4.74,52.6,46.7,0.08,0.6,0.6,1.88,1.5,0.0,0.08,0.15,0.15,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,1.13,0.53,0.75,0.9,83.3,0.15,1.13,0.3,0.83,0.75,1.88,1.05,0.0,60.8,38.7,205.2,89.3,1.88,1.28,0.08,0.9,0.83,43.4,0.9,0.3,0.0,0.98,2.63,0.0,0.38,0.38,50.0
2076,24,22,22,1980,22.0,Declan Rice,1,1.14,0.18,16.0,0.04,0.25,24.9,0.0,0.0,0.05,52.8,60.2,87.8,7.09,60.2,52.8,0.05,1.18,0.36,3.0,2.59,0.09,0.05,0.05,0.09,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.32,0.95,0.77,1.14,68.0,0.36,1.14,0.45,0.68,1.59,3.91,1.55,0.0,69.2,40.1,246.0,136.0,2.5,2.05,0.05,0.73,0.64,46.5,1.05,0.14,0.0,0.77,0.23,0.05,1.05,0.68,60.5
2077,22,7,3,348,3.9,Chris Richards,0,1.03,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,29.0,35.1,82.5,2.05,35.1,29.0,0.0,0.26,0.0,0.51,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.28,1.03,1.54,66.7,0.51,2.31,0.26,2.05,2.05,3.85,6.67,0.0,50.3,19.7,79.7,38.7,0.26,0.26,0.0,0.26,0.26,25.6,0.26,0.0,0.0,0.26,0.26,0.26,2.31,0.51,81.8
2078,25,14,5,503,5.6,Richarlison,0,2.5,0.89,35.7,0.0,0.0,12.7,0.0,0.0,0.0,20.7,28.0,73.9,3.39,28.0,20.7,0.36,1.61,1.43,3.39,2.32,0.0,0.0,0.18,0.89,0.0,0.54,0.36,0.0,0.0,0.0,0.18,0.0,1.61,1.07,1.07,2.32,46.2,1.25,1.61,0.18,1.43,0.71,2.32,1.07,0.0,43.9,26.8,154.3,70.0,2.5,2.32,0.71,3.57,2.14,30.9,7.86,0.36,0.0,1.25,2.14,0.54,0.71,1.61,30.8
2079,25,16,9,860,9.6,Marco Richter,3,2.92,0.94,32.1,0.11,0.33,22.6,0.21,0.0,0.0,18.9,30.6,61.6,2.71,30.6,18.9,0.21,0.83,1.15,2.71,1.46,0.42,0.31,0.42,0.0,0.1,0.52,0.42,0.0,0.0,0.1,0.0,0.0,2.19,0.94,1.04,2.08,50.0,1.04,1.56,0.0,1.56,0.83,3.02,1.46,0.0,47.9,25.8,132.7,53.0,1.88,1.15,0.42,3.02,1.88,26.4,5.1,0.31,0.0,1.88,1.98,0.31,0.52,1.15,31.3
2080,29,13,11,1044,11.6,Diego Rico,0,0.34,0.09,25.0,0.0,0.0,30.6,0.0,0.0,0.0,41.0,54.6,75.2,3.1,54.6,41.0,0.0,0.43,1.03,1.9,1.38,0.17,0.09,0.09,0.0,0.17,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.72,1.12,0.43,0.95,45.5,0.52,0.6,0.17,0.43,1.64,3.36,3.36,0.0,66.2,30.8,152.8,71.8,1.72,1.64,0.0,1.64,0.6,33.8,4.4,0.17,0.0,1.38,1.81,0.0,1.29,0.52,71.4
2081,26,4,0,49,0.5,Jaïro Riedewald,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,70.0,74.3,0.0,70.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,8.0,0.0,84.0,34.0,146.0,92.0,2.0,2.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,50.0
2082,34,20,20,1800,20.0,Manuel Riemann,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,52.4,60.3,0.65,52.4,31.6,0.0,0.1,0.25,0.65,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,100.0,0.0,0.05,0.0,0.05,0.15,0.25,0.75,0.2,56.1,32.3,173.7,113.8,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.05,0.0,0.05,0.1,0.0,0.3,0.1,75.0
