Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,75838543.76,70851395.81,97583845.85,119215263.4,230424365.8,303734057.6,481652131.4,394214695,356978463.6,456716994.3,635375672.7,616447031.1,673623769.5,722693573.3,686478295.1,705587789.5,664167939.7,713076768.8,830593800.5,969072073.8,1094446246,881916220.8,828688962.8,574294752.9,635727612.4,647609022.6,605686765.9,604309824.6,1293194384,1075845219,1015892190,1259381840,1194885400,381749238.5,281122074.7,2320055330,4417144516,10215264799,15130391964,3003475070,11884683208,16579108603,10745352971,11079257760,8460725570,4508443237,6013374244,6446925034,6176606717,4973663722,
Brazil,BRA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.25463226,0.238777589,0.252243671,0.254693443,0.632130798,0.583975855,0.590186339,0.416867893,0.35818476,0.618801138,0.826754715,0.739726501,0.629768026,1.27474854,1.612309135,1.705273299,0.767429163,0.960824094,0.71868775,0.729064957,0.987623622,0.47207659,0.730720993,0.603462035,0.463253595,0.361906829,0.460350127,0.404454759,0.370583583,0.789238852,1.297404376,1.209720364,1.559990189,1.539230386,1.642080671,2.177971074,2.313876032,2.305118647,2.741522568,1.194734831,1.721581315,2.20201932,1.974330896,1.875223632,1.76822362,1.093707516,0.978487674,1.341132329,2.059707523,1.997865462,
Brazil,BRA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brazil,BRA,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brazil,BRA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,13.71459392,11.29473068,12.10250326,11.7126328,10.09457773,9.143266162,10.24133587,6.645550951,5.054121726,7.636184759,10.23490461,7.739739746,13.17810503,15.42276177,25.78708453,10.80720963,10.71398299,12.90699479,12.94158683,11.92971056,6.954063818,5.64225084,5.014602798,4.521868267,3.594111251,6.470732665,6.136483069,8.116029428,9.012681592,10.70931134,10.36377363,10.76781033,11.45511382,11.26926282,8.427731633,9.460263377,10.34360517,9.536456384,9.969928498,8.01225508,6.459240554,5.522292423,5.726754305,4.559119768,4.421500411,
Brazil,BRA,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,16734136063,16982531151,20967949966,22966247515,22101573202,20782643985,25875656794,17758839352,9675913879,15054356442,21602199061,19827200896,37288107097,48917453096,1.15657E+11,48596995696,63142858728,50729910447,55278823389,64076861365,52701998513,46690584881,42875806701,37329650414,20417391251,41189189950,33211260019,39843292829,48722736938,69561582180,89735355780,1.16284E+11,1.56638E+11,1.86421E+11,1.37383E+11,2.0251E+11,2.63655E+11,2.29226E+11,2.43112E+11,1.93114E+11,1.14219E+11,97059811629,1.15924E+11,83530824661,79187745907,
Brazil,BRA,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.784590989,0.705607563,0.6837205,0.641619005,0.583225866,0.521667985,0.501229705,0.464931399,0.448386441,0.435009648,0.388761805,0.368160412,0.340746172,0.321598691,0.290670184,0.271058525,0.26020027,0.238885724,0.231167248,0.23268914,0.215198963,0.202303843,0.195545514,0.182662451,0.173940782,0.175282716,0.179551901,0.171632937,0.171632937,0.167291264,
Brazil,BRA,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,,,,,,,,,,,,,,,,,,,,,3528085991,4158498172,2687308726,2740617834,3132622770,3953507776,4147761014,3975251801,3701591489,2471198459,2474647721,1992520966,1672794513,1738568954,1888027831,2346976500,2809954756,3266547272,3824061078,3793135478,4606635076,5156664274,4700288410,4454132548,4192372919,3099524272,3155804209,3474279728,3144607182,2996136350,
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.37360379,11.08959788,11.08868417,10.85527208,10.7525651,10.22841334,11.41797511,12.91816539,10.30339894,10.06231357,9.850640147,9.843520537,8.370880982,10.53331258,11.59575917,11.10460944,10.38130444,9.359910366,9.796555934,8.441587377,6.963440655,6.84130803,6.806091412,6.778109377,8.721989375,5.011666464,4.768411208,4.685047025,4.750044788,4.645981538,4.750459972,4.801043019,5.475274895,6.167184387,5.665311577,4.651168821,4.370043779,4.416915436,4.567851182,4.476773993,4.115756488,4.342034128,4.168328224,4.506886182,4.325610539,4.319149429,4.891353587,4.600591696,4.420399304,4.401763235,5.905569345
Brazil,BRA,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,5.6,10.154178,3.967430655,0.075501163,1.299594339,6.642972997,2.43912,12.11288672,-2.678678717,4.703332599,9.55,7.97,-0.22,-0.46,2.63,9.58,-8.02,14.97,0.84,2.85,-3.72,1.37,4.89,-0.07,5.449876963,4.07605722,2.953171143,0.81302798,3.408888096,6.525237747,2.723405931,5.200340273,8.020170868,8.306342199,1.995123583,1.120060504,4.639422806,3.247001015,5.770967181,-3.72867985,6.696942466,5.638646425,-3.082242243,8.361443982,2.790794457,3.314331433,-5.224217757,14.15238623,1.307055791,0.631640769,1.95896227
