VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
7SAYGDEE6P,Whatcom,Blaine,WA,98230,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,251357935,POINT (-122.74888 48.99404),CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405
7SAYGDED6R,King,Renton,WA,98055,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11,267147632,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
5YJ3E1EA7K,Snohomish,Marysville,WA,98270,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,253478998,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052708
7SAYGAEE1S,King,Mercer Island,WA,98040,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,276681912,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302
4JGGM1CB8P,King,Bothell,WA,98011,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,262552685,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
WA1E2AFY5M,King,Lake Forest Park,WA,98155,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,46,169213173,POINT (-122.3175 47.75781),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033020402
3FMTK2SU1N,King,Seattle,WA,98118,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,37,220539574,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011700
5YJSA1S17E,King,Redmond,WA,98072,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,"69,900",45,137585157,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327
3FMTK3SU7R,Lewis,Chehalis,WA,98532,2024,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,274264567,POINT (-122.96462 46.6621),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53041970800
4JGGM1CB4R,King,Issaquah,WA,98027,2024,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,276054460,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023404
5YJ3E1EB3P,Kitsap,Port Orchard,WA,98367,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,261263278,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092704
5YJ3E1EA9P,Spokane,Spokane Valley,WA,99016,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,4,260799703,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013101
7SAYGDEE7N,King,Bellevue,WA,98008,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,194095065,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
7SAYGDEF9R,King,Sammamish,WA,98075,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,272506020,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032207
5YJXCDE24L,Whatcom,Bellingham,WA,98226,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,40,6295803,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000804
1V2DNPE83P,Snohomish,Lake Stevens,WA,98258,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,244351362,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052706
7SAYGDEEXP,Snohomish,Marysville,WA,98270,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,232824441,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052707
1G1RD6S51J,Spokane,Medical Lake,WA,99022,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,7,209850987,POINT (-117.68269 47.57261),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010403
3FMTK3SU7M,King,Seattle,WA,98109,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,152345931,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800
5YJ3E1EA6P,King,Bellevue,WA,98007,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,256170876,POINT (-122.12056 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604
7SAYGAEE4R,Stevens,Nine Mile Falls,WA,99026,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7,269648340,POINT (-117.54392 47.77676),NO KNOWN ELECTRIC UTILITY SERVICE,53065951402
KM8S6DA29P,Snohomish,Everett,WA,98208,2023,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,258857336,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061052010
WB523CF07P,Mason,Grapeview,WA,98546,2023,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,227476833,POINT (-122.82364 47.32767),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961200
5LMYJ8XY0P,King,Redmond,WA,98052,2023,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,45,256256906,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032322
JN1CF0BB9P,Snohomish,Everett,WA,98208,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,259065936,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061052114
5YJ3E1EA3L,King,Bellevue,WA,98008,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,48,131393510,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
5YJ3E1ET4R,Cowlitz,Longview,WA,98632,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,19,271772315,POINT (-122.95058 46.14681),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015000801
1G1FZ6S00P,Kitsap,Port Orchard,WA,98366,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,228190952,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092200
JTDKARFP3H,King,Des Moines,WA,98198,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,33,149003326,POINT (-122.32192 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028901
KNDCC3LG3N,King,Seattle,WA,98107,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,194275917,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400
7SAYGDEF2P,King,Seattle,WA,98108,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,37,257632224,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401
5YJ3E1EA4P,King,Federal Way,WA,98023,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,30,249584254,POINT (-122.36321 47.3084),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030308
YV4BR0CL3M,Snohomish,Lake Stevens,WA,98258,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,44,274235034,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052606
KNDAEFS50R,King,Kirkland,WA,98034,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,261758402,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022003
7PDSGABA9P,King,Seattle,WA,98136,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34,245754288,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010502
5YJYGDEF4L,Snohomish,Everett,WA,98208,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38,244193288,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041805
